title,address,latitude,longitude
지에스25아라타운점,제주특별자치도 제주시 인다8길 8,3958664.312,14087012.47
씨유제주아라,제주특별자치도 제주시 인다10길 25,3958468.807,14087313.39
씨유제주대공과대점,제주특별자치도 제주시 제주대학로 64-29,3955998.741,14088249.34
세븐일레븐제주대학,제주특별자치도 제주시 중앙로 616,3957683.056,14087136.31
지에스25제주아란점,제주특별자치도 제주시 아란2길 31,3958465.362,14086470.34
장봐주는언니제주점,제주특별자치도 제주시 인다10길 30,3958426.273,14087369.07
씨유제주아라,제주특별자치도 제주시 인다14길 22,3958034.786,14087251.17
씨유제주대경,제주특별자치도 제주시 제주대학로 102,3956151.04,14089079.39
세븐일레븐제주아라,제주특별자치도 제주시 아란8길 16,3958334.457,14086829.04
케이제이,제주특별자치도 제주시 아란13길 15,3957481.971,14086953.5
씨유제주아라,제주특별자치도 제주시 아란8길 5,3958298.682,14086937.33
지에스25아라,제주특별자치도 제주시 아란2길 79,3957917.766,14086545.05
지에스25제주구남점,제주특별자치도 제주시 구남동8길 50,3959963.77,14085897.22
지에스25제주아라점,제주특별자치도 제주시 중앙로 576,3958123.389,14086963.72
세븐일레븐제주아라미화점,제주특별자치도 제주시 아란12길 24,3957770.418,14086846.49
씨유제주아라방선문점,제주특별자치도 제주시 아연로 531,3958883.603,14085925.55
씨유제주아라중점,제주특별자치도 제주시 간월동로 33,3960110.737,14087016.26
지에스25신이도,제주특별자치도 제주시 승천로 80,3960753.912,14086713.83
픽미픽미아이스제주아라점,제주특별자치도 제주시 인다1길 20,3958858.927,14087504.38
세븐일레븐아라중점,제주특별자치도 제주시 간월동로 16,3959961.847,14086868.62
씨유제주탐라점,제주특별자치도 제주시 신설로 36,3960916.747,14086825.35
지에스25제주간드락점,제주특별자치도 제주시 간월동로 10,3959921.082,14086793.73
씨유제주프로빌아파트점,제주특별자치도 제주시 금월길 46,3959799.702,14087661.38
씨유제주캠퍼스점,제주특별자치도 제주시 제주대학로 105-1,3956562.372,14088726.49
지에스25아라디오파크점,제주특별자치도 제주시 금월길 21,3960094.698,14087587.82
